state,abbr,district,headquarters,population,area,density,url
AN,NI,Nicobar,Car Nicobar,36819,1841,20,
AN,NA,North and Middle Andaman,Mayabunder,105539,3227,32,
AN,SA,South Andaman,Port Blair,237586,3181,75,
AP,AN,Anantapur,Anantapur,4083315,19130,213,http://www.anantapuramu.ap.gov.in/
AP,CH,Chittoor,Chittoor,4170468,15152,275,http://www.chittoor.ap.gov.in/[permanent dead link]
AP,EG,East Godavari,Kakinada,5151549,10807,477,http://eastgodavari.nic.in/
AP,GU,Guntur,Guntur,4889230,11391,429,http://guntur.nic.in/
AP,CU,Kadapa,Kadapa,2884524,15359,188,http://kadapa.ap.nic.in/
AP,KR,Krishna,Machilipatnam,4529009,8727,519,http://krishna.nic.in/
AP,KU,Kurnool,Kurnool,4046601,17658,229,http://www.kurnool.ap.gov.in/
AP,PR,Prakasam,Ongole,3392764,17626,192,http://www.prakasam.ap.gov.in/
AP,NE,Sri Potti Sriramulu Nellore,Nellore,2966082,13076,227,https://web.archive.org/web/20120527220707/http://nellore.ap.nic.in/
AP,SR,Srikakulam,Srikakulam,2699471,5837,462,http://srikakulam.ap.nic.in/
AP,VS,Visakhapatnam,Visakhapatnam,4288113,11161,384,http://visakhapatnam.nic.in/
AP,VZ,Vizianagaram,Vizianagaram,2342868,6539,358,http://vizianagaram.nic.in/
AP,WG,West Godavari,Eluru,3934782,7742,508,http://www.westgodavari.org/
AR,AJ,Anjaw,Hawai,21089,6190,3,https://web.archive.org/web/20061114233621/http://lohit.nic.in/anjaw.htm
AR,CH,Changlang,Changlang,147951,4662,32,http://changlang.nic.in/
AR,EK,East Kameng,Seppa,78413,4134,19,http://eastkameng.nic.in/
AR,ES,East Siang,Pasighat,99019,3603,27,http://eastsiang.nic.in/
AR,KM,Kamle,Raga,22256,,,
AR,KD,Kra Daadi,Jamin,,,,
AR,KK,Kurung Kumey,Koloriang,89717,6040,15,http://kurungkumey.nic.in/
AR,EL,Lohit,Tezu,145538,2402,61,http://lohit.nic.in/
AR,LD,Longding,Longding,,,,
AR,DV,Lower Dibang Valley,Roing,53986,3900,14,http://roing.nic.in/
AR,LS,Lower Siang,Likabali,,,,
AR,LB,Lower Subansiri,Ziro,82839,3508,24,http://lowersubansiri.nic.in/
AR,NS,Namsai,Namsai,,,,
AR,PA,Papum Pare,Yupia,176385,2875,61,http://papumpare.nic.in/
AR,SA,Siang,Pangin,,,,
AR,TA,Tawang,Tawang Town,49950,2085,24,http://tawang.nic.in/
AR,TI,Tirap,Khonsa,111997,2362,47,http://tirap.nic.in/
AR,UD,Upper Dibang Valley,Anini,7948,9129,1,http://dibang.nic.in/[permanent dead link]
AR,US,Upper Siang,Yingkiong,35289,6188,6,http://uppersiang.nic.in/
AR,UB,Upper Subansiri,Daporijo,83205,7032,12,http://uppersubansiri.nic.in/
AR,WK,West Kameng,Bomdila,87013,7422,12,http://westkameng.nic.in/
AR,WS,West Siang,Along,112272,8325,13,http://westsiang.nic.in/
AS,BK,Baksa[7],Mushalpur,953773,2008,475,http://baksa.gov.in/
AS,BP,Barpeta,Barpeta,1693190,3245,522,http://barpeta.gov.in/
AS,BS,Bishwanath[8],Bishwanath Chariali,580000,1100,527,
AS,BO,Bongaigaon,Bongaigaon,732639,1724,425,http://bongaigaon.gov.in/
AS,CA,Cachar,Silchar,1736319,3786,459,http://cachar.gov.in/
AS,CD,Charaideo[8],Sonari,,,,
AS,CH,Chirang[7],Kajalgaon,481818,1975,244,http://chirang.gov.in/
AS,DR,Darrang,Mangaldoi,908090,1849,491,http://darrang.gov.in/
AS,DM,Dhemaji,Dhemaji,688077,3237,213,http://dhemaji.gov.in/
AS,DU,Dhubri,Dhubri,1948632,2838,687,http://dhubri.gov.in/
AS,DI,Dibrugarh,Dibrugarh,1327748,3381,393,http://dibrugarh.gov.in/
AS,NC,Dima Hasao,Haflong,213529,4888,44,http://nchills.gov.in/
AS,GP,Goalpara,Goalpara,1008959,1824,553,http://goalpara.gov.in/
AS,GG,Golaghat,Golaghat,1058674,3502,302,http://golaghat.gov.in/
AS,HA,Hailakandi,Hailakandi,659260,1327,497,http://hailakandi.nic.in/
AS,HJ,Hojai[8],Hojai,347627,,,
AS,JO,Jorhat,Jorhat,1091295,2851,383,http://jorhat.gov.in/
AS,KU,Kamrup,Amingaon,1517202,3480,436,http://kamrup.nic.in/
AS,KM,Kamrup Metropolitan,Guwahati,1260419,627,2010,http://kamrupmetro.nic.in/
AS,KG,Karbi Anglong,Diphu,965280,10434,93,http://karbianglong.gov.in/
AS,KR,Karimganj,Karimganj,1217002,1809,673,http://karimganj.gov.in/
AS,KJ,Kokrajhar[7],Kokrajhar,886999,3129,283,http://kokrajhar.gov.in/
AS,LA,Lakhimpur,North Lakhimpur,1040644,2277,457,http://lakhimpur.gov.in/
AS,MJ,Majuli[9],Garamur,167304,1250,134,
AS,MA,Morigaon,Marigaon,957853,1704,562,http://morigaon.nic.in/
AS,NN,Nagaon,Nagaon,2826006,3831,738,http://nagaon.gov.in/
AS,NB,Nalbari,Nalbari,769919,1009,763,http://nalbari.nic.in/
AS,ST,Sivasagar,Sibsagar,1150253,2668,431,http://sivasagar.nic.in
AS,SM,South Salmara-Mankachar[8],Hatsingimari,,,,
AS,SO,Sonitpur,Tezpur,1925975,5324,362,http://sonitpur.gov.in/
AS,TI,Tinsukia,Tinsukia,1316948,3790,347,http://tinsukia.gov.in/
AS,UD,Udalguri[7],Udalguri,832769,1676,497,http://udalguri.gov.in/
AS,WK,West Karbi Anglong[8],Hamren,,,,
BR,AR,Araria,Araria,2806200,2829,992,http://araria.bih.nic.in
BR,AW,Arwal,Arwal,700843,638,1098,http://arwal.bih.nic.in/
BR,AU,Aurangabad,Aurangabad,2511243,3303,760,http://aurangabad.bih.nic.in
BR,BA,Banka,Banka,2029339,3018,672,http://banka.bih.nic.in
BR,BE,Begusarai,Begusarai,2954367,1917,1540,http://begusarai.bih.nic.in
BR,BG,Bhagalpur,Bhagalpur,3032226,2569,1180,https://web.archive.org/web/20111006202238/http://bhagalpur.bih.nic.in/
BR,BJ,Bhojpur,Arrah,2720155,2473,1136,http://bhojpur.bih.nic.in
BR,BU,Buxar,Buxar,1707643,1624,1003,http://buxar.bih.nic.in
BR,DA,Darbhanga,Darbhanga,3921971,2278,1721,http://darbhanga.bih.nic.in
BR,EC,East Champaran,Motihari,5082868,3969,1281,http://eastchamparan.bih.nic.in
BR,GA,Gaya,Gaya,4379383,4978,880,http://gaya.bih.nic.in
BR,GO,Gopalganj,Gopalganj,2558037,2033,1258,http://gopalganj.bih.nic.in
BR,JA,Jamui,Jamui,1756078,3099,567,https://web.archive.org/web/20110818201023/http://jamui.bih.nic.in/
BR,JE,Jehanabad,Jehanabad,1124176,1569,1206,http://Jehanabad.bih.nic.in
BR,KM,Kaimur,Bhabua,1626900,3363,488,http://kaimur.bih.nic.in
BR,KT,Katihar,Katihar,3068149,3056,1004,http://katihar.bih.nic.in
BR,KH,Khagaria,Khagaria,1657599,1486,1115,http://khagaria.bih.nic.in
BR,KI,Kishanganj,Kishanganj,1690948,1884,898,http://kishanganj.bih.nic.in
BR,LA,Lakhisarai,Lakhisarai,1000717,1229,815,http://lakhisarai.bih.nic.in
BR,MP,Madhepura,Madhepura,1994618,1787,1116,http://madhepura.bih.nic.in
BR,MB,Madhubani,Madhubani,4476044,3501,1279,http://madhubani.bih.nic.in
BR,MG,Munger,Munger,1359054,1419,958,https://web.archive.org/web/20151219044930/http://www.munger.bih.nic.in/
BR,MZ,Muzaffarpur,Muzaffarpur,4778610,3173,1506,http://muzaffarpur.bih.nic.in
BR,NL,Nalanda,Bihar Sharif,2872523,2354,1220,http://nalanda.bih.nic.in
BR,NW,Nawada,Nawada,2216653,2492,889,http://nawada.bih.nic.in
BR,PA,Patna,Patna,5772804,3202,1803,https://web.archive.org/web/20110228012237/http://patna.bih.nic.in/
BR,PU,Purnia,Purnia,3273127,3228,1014,http://purnea.bih.nic.in
BR,RO,Rohtas,Sasaram,2962593,3850,763,http://rohtas.bih.nic.in
BR,SH,Saharsa,Saharsa,1897102,1702,1125,http://saharsa.bih.nic.in
BR,SM,Samastipur,Samastipur,4254782,2905,1465,http://samastipur.bih.nic.in
BR,SR,Saran,Chhapra,3943098,2641,1493,http://saran.bih.nic.in
BR,SP,Sheikhpura,Sheikhpura,634927,689,922,http://sheikhpura.bih.nic.in
BR,SO,Sheohar,Sheohar,656916,443,1882,http://sheohar.bih.nic.in
BR,ST,Sitamarhi,Sitamarhi,3419622,2199,1491,https://web.archive.org/web/20180720032153/http://sitamarhi.bih.nic.in/
BR,SW,Siwan,Siwan,3318176,2219,1495,http://siwan.bih.nic.in
BR,SU,Supaul,Supaul,2228397,2410,919,http://supaul.bih.nic.in
BR,VA,Vaishali,Hajipur,3495021,2036,1717,http://vaishali.bih.nic.in
BR,WC,West Champaran,Bettiah,3935042,5229,753,http://westchamparan.bih.nic.in
CH,CH,Chandigarh,Chandigarh,1054686,114,9252,
CG,BL,Balod,Balod,826165,3527,234,http://balod.gov.in/
CG,BB,Baloda Bazar,Baloda Bazar,,,,
CG,BP,Balrampur,Balrampur,598855,3806,157,http://balrampur.info/
CG,BA,Bastar,Jagdalpur,1302253,4030,87,http://bastar.nic.in/
CG,BM,Bemetara,Bemetara,197035,2855,69,http://bemetara.gov.in/
